"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Граничные значения для расстояния до 10 км","1","Граничные значения расстояния до 10 км [2] distance=5.00","","Wed Aug 06 12:04:31 UTC 2025","passed","Wed Aug 06 12:04:31 UTC 2025","","Тесты расчёта стоимости по расстоянию","ru.yandex.practicum.bystritskiy.DeliveryCalculatorTest$DistanceBasedCostTests","shouldCalculateCorrectlyForBoundaryDistancesUpTo10Km"
"Проверка расчёта для расстояния более 30 км","1","Расстояние более 30 км - базовая стоимость 300 рублей","","Wed Aug 06 12:04:31 UTC 2025","passed","Wed Aug 06 12:04:31 UTC 2025","","Тесты расчёта стоимости по расстоянию","ru.yandex.practicum.bystritskiy.DeliveryCalculatorTest$DistanceBasedCostTests","shouldCalculateCostForDistanceOver30Km"
"Граничные значения для расстояния до 30 км","2","Граничные значения расстояния до 30 км [3] distance=30.00","","Wed Aug 06 12:04:31 UTC 2025","passed","Wed Aug 06 12:04:31 UTC 2025","","Тесты расчёта стоимости по расстоянию","ru.yandex.practicum.bystritskiy.DeliveryCalculatorTest$DistanceBasedCostTests","shouldCalculateCorrectlyForBoundaryDistancesUpTo30Km"
"Граничные значения для расстояния до 10 км","1","Граничные значения расстояния до 10 км [1] distance=2.01","","Wed Aug 06 12:04:31 UTC 2025","passed","Wed Aug 06 12:04:31 UTC 2025","","Тесты расчёта стоимости по расстоянию","ru.yandex.practicum.bystritskiy.DeliveryCalculatorTest$DistanceBasedCostTests","shouldCalculateCorrectlyForBoundaryDistancesUpTo10Km"
"Граничные значения для расстояния до 2 км","1","Граничные значения расстояния до 2 км [3] distance=2.00","","Wed Aug 06 12:04:31 UTC 2025","passed","Wed Aug 06 12:04:31 UTC 2025","","Тесты расчёта стоимости по расстоянию","ru.yandex.practicum.bystritskiy.DeliveryCalculatorTest$DistanceBasedCostTests","shouldCalculateCorrectlyForBoundaryDistancesUpTo2Km"
"Проверка расчёта для расстояния до 2 км","1","Расстояние до 2 км - базовая стоимость 50 рублей","","Wed Aug 06 12:04:31 UTC 2025","passed","Wed Aug 06 12:04:31 UTC 2025","","Тесты расчёта стоимости по расстоянию","ru.yandex.practicum.bystritskiy.DeliveryCalculatorTest$DistanceBasedCostTests","shouldCalculateCostForDistanceUpTo2Km"
"Граничные значения для расстояния до 30 км","1","Граничные значения расстояния до 30 км [2] distance=20.00","","Wed Aug 06 12:04:31 UTC 2025","passed","Wed Aug 06 12:04:31 UTC 2025","","Тесты расчёта стоимости по расстоянию","ru.yandex.practicum.bystritskiy.DeliveryCalculatorTest$DistanceBasedCostTests","shouldCalculateCorrectlyForBoundaryDistancesUpTo30Km"
"Проверка применения минимальной стоимости","1","Минимальная стоимость доставки - 400 рублей","","Wed Aug 06 12:04:31 UTC 2025","passed","Wed Aug 06 12:04:31 UTC 2025","","Тесты минимальной стоимости доставки","ru.yandex.practicum.bystritskiy.DeliveryCalculatorTest$MinimumCostTests","shouldApplyMinimumDeliveryCost"
"Минимальная стоимость не применяется при превышении","1","Стоимость выше минимальной не изменяется","","Wed Aug 06 12:04:31 UTC 2025","passed","Wed Aug 06 12:04:31 UTC 2025","","Тесты минимальной стоимости доставки","ru.yandex.practicum.bystritskiy.DeliveryCalculatorTest$MinimumCostTests","shouldNotApplyMinimumWhenCostIsHigher"
"null размер груза должен вызывать исключение","2","Исключение при null размере груза","","Wed Aug 06 12:04:31 UTC 2025","passed","Wed Aug 06 12:04:31 UTC 2025","","Валидация входных данных","ru.yandex.practicum.bystritskiy.DeliveryCalculatorTest$ValidationTests","shouldThrowExceptionForNullCargoSize"
"Граничное значение для хрупкого груза","1","Хрупкий груз на расстоянии граничного значения","","Wed Aug 06 12:04:31 UTC 2025","passed","Wed Aug 06 12:04:31 UTC 2025","","Тесты расчёта стоимости по расстоянию","ru.yandex.practicum.bystritskiy.DeliveryCalculatorTest$DistanceBasedCostTests","shouldThrowForFragileCargoAtDistanceJustOverLimit"
